gene_name,b_number,protein_id,sector
tsaD,b3064,P05852,R
tsaE,b4168,P0AF67,A'
tsf,b0170,P0A6P1,U
tsgA,b3364,P60778,X
tsr,b4355,P02942,U
tsx,b0411,P0A927,C'
ttcA,b1344,P76055,R
ttdA,b3061,P05847,X
ttdB,b3062,P0AC35,X
ttdR,b3060,P45463,X
ttdT,b3063,P39414,X
tufA,b3339,P0CE47,R
tufB,b3980,P0CE48,R
tus,b1610,P16525,A'
tusA,b3470,P0A890,S'
tusB,b3343,P45530,S
tusC,b3344,P45531,S
tusD,b3345,P45532,X
tusE,b0969,P0AB18,A'
tynA,b1386,P46883,X
tyrA,b2600,P07023,R
tyrB,b4054,P04693,S
tyrP,b1907,P0AAD4,X
tyrR,b1323,P07604,S'
tyrS,b1637,P0AGJ9,U
uacT,b2888,Q46821,X
ubiA,b4040,P0AGK1,X
ubiB,b3835,P0A6A0,S
ubiC,b4039,P26602,X
ubiD,b3843,P0AAB4,S'
ubiE,b3833,P0A887,U
ubiF,b0662,P75728,S'
ubiG,b2232,P17993,U
ubiH,b2907,P25534,S
ubiI,b2906,P25535,S
ubiJ,b3834,P0ADP7,X
ubiX,b2311,P0AG03,X
ucpA,b2426,P37440,C'
udk,b2066,P0A8F4,R
udp,b3831,P12758,S
ugd,b2028,P76373,X
ugpA,b3452,P10905,C
ugpB,b3453,P0AG80,X
ugpC,b3450,P10907,S
ugpE,b3451,P10906,X
ugpQ,b3449,P10908,S'
uhpA,b3669,P0AGA6,S'
uhpB,b3668,P09835,X
uhpC,b3667,P09836,X
uhpT,b3666,P0AGC0,X
uidA,b1617,P05804,X
uidB,b1616,P0CE44,X
uidC,b1615,Q47706,X
uidR,b1618,P0ACT6,X
ulaA,b4193,P39301,X
ulaB,b4194,P69822,X
ulaC,b4195,P69820,X
ulaD,b4196,P39304,X
ulaE,b4197,P39305,X
ulaF,b4198,P39306,X
ulaG,b4192,P39300,X
ulaR,b4191,P0A9W0,S'
umpG,b2744,P0A840,S'
umpH,b0675,P0AF24,S'
umuC,b1184,P04152,X
umuD,b1183,P0AG11,X
ung,b2580,P12295,S'
uof,b4637,A8DYP9,X
upp,b2498,P0A8F0,R
uraA,b2497,P0AGM7,X
usg,b2319,P08390,S'
ushA,b0480,P07024,S
uspA,b3495,P0AED0,S
uspB,b3494,P0A8S5,X
uspC,b1895,P46888,X
uspD,b3923,P0AAB8,S
uspE,b1333,P0AAC0,S
uspF,b1376,P37903,S
uspG,b0607,P39177,S'
uup,b0949,P43672,R
uvrA,b4058,P0A698,S'
uvrB,b0779,P0A8F8,S'
uvrC,b1913,P0A8G0,S
uvrD,b3813,P03018,C'
uvrY,b1914,P0AED5,R
uxaA,b3091,P42604,C'
uxaB,b1521,P0A6L7,X
uxaC,b3092,P0A8G3,C
uxuA,b4322,P24215,C'
uxuB,b4323,P39160,S
uxuR,b4324,P39161,X
valS,b4258,P07118,U
ves,b1742,P76214,X
viaA,b3745,P0ADN0,X
vsr,b1960,P09184,X
waaA,b3633,P0AC75,C'
waaB,b3628,P27127,S
waaC,b3621,P24173,X
waaF,b3620,P37692,A
waaG,b3631,P25740,S
waaH,b3615,P11290,X
waaJ,b3626,P27129,S'
waaL,b3622,P27243,C
waaO,b3627,P27128,S'
waaP,b3630,P25741,S'
waaQ,b3632,P25742,A
waaS,b3629,P27126,R
waaU,b3623,P27242,C'
waaY,b3625,P27240,A'
waaZ,b3624,P27241,X
wbbH,b2035,P37748,X
wbbI,b2034,P37749,X
wbbJ,b2033,P37750,X
wbbK,b2032,P37751,X
wbbL_1,b2031,P36667,X
wcaA,b2059,P77414,X
wcaB,b2058,P0ACC9,X
wcaC,b2057,P71237,X
wcaD,b2056,P71238,X
wcaE,b2055,P71239,X
wcaF,b2054,P0ACD2,X
wcaI,b2050,P32057,X
wcaJ,b2047,P71241,X
wcaK,b2045,P71242,X
wcaL,b2044,P71243,X
wcaM,b2043,P71244,X
wecB,b3786,P27828,R
wecC,b3787,P27829,R
wecE,b3791,P27833,A
wecH,b3561,P37669,X
wrbA,b1004,P0A8G6,S
wza,b2062,P0A930,X
wzb,b2061,P0AAB2,X
wzc,b2060,P76387,X
wzxC,b2046,P77377,X
wzxE,b3792,P0AAA7,X
wzyE,b3793,P27835,X
wzzB,b2027,P76372,R
wzzE,b3785,P0AG00,R
xanP,b3654,P0AGM9,X
xanQ,b2882,P67444,X
xapA,b2407,P45563,X
xapB,b2406,P45562,X
xapR,b2405,P23841,X
xdhA,b2866,Q46799,X
xdhB,b2867,Q46800,X
xdhC,b2868,Q46801,X
xdhD,b2881,Q46814,X
xerC,b3811,P0A8P6,X
xerD,b2894,P0A8P8,X
xisE,b1141,P75970,X
xisR,b1346,P76057,X
xseA,b2509,P04994,S'
xseB,b0422,P0A8G9,S'
xthA,b1749,P09030,A'
xylA,b3565,P00944,X
xylB,b3564,P09099,X
xylE,b4031,P0AGF4,X
xylF,b3566,P37387,X
xylG,b3567,P37388,X
xylH,b3568,P0AGI4,X
xylR,b3569,P0ACI3,X
yaaA,b0006,P0A8I3,A
yaaI,b0013,P28696,X
yaaJ,b0007,P30143,X
yaaU,b0045,P31679,X
yaaW,b0011,P75617,X
yaaX,b0005,P75616,X
yaaY,b0024,P75620,X
yabI,b0065,P30149,X
yabP,b0056,P39220,X
yabQ,b0057,P39221,X
yacC,b0122,P0AA95,A'
yacG,b0101,P0A8H8,S'
yacH,b0117,P36682,X
yacL,b0119,P0A8E5,A'
yadC,b0135,P31058,X
yadD,b0132,P31665,X
yadE,b0130,P31666,X
yadG,b0127,P36879,A'
yadH,b0128,P0AFN6,X
yadI,b0129,P36881,X
yadK,b0136,P37016,X
yadL,b0137,P37017,X
yadM,b0138,P37018,X
yadN,b0141,P37050,X
yadS,b0157,P0AFP0,X
yadV,b0140,P33128,X
yaeF,b0193,P37056,X
yaeH,b0163,P62768,S
yaeI,b0164,P37049,X
yaeP,b4406,P0A8K5,S'
yaeQ,b0190,P0AA97,S'
yaeR,b0187,P52096,X
yafC,b0208,P30864,S
yafD,b0209,P0A8U2,X
yafE,b0210,P30866,X
yafF,b4503,Q2EEP9,X
yafJ,b0223,Q47147,S
yafK,b0224,P0AA99,U
yafL,b0227,Q47151,X
yafN,b0232,Q47156,X
yafO,b0233,Q47157,X
yafP,b0234,Q47158,X
yafQ,b0225,Q47149,X
yafS,b0213,P75672,X
yafT,b0217,P77339,X
yafU,b0218,P77354,X
yafV,b0219,Q47679,S'
yafW,b0246,Q47684,X
yafX,b0248,P75676,X
yafY,b0251,P77365,X
yafZ,b0252,P77206,X
yagA,b0267,P37007,X
yagB,b0266,P37008,X
yagE,b0268,P75682,X
yagF,b0269,P77596,X
yagG,b0270,P75683,X
yagH,b0271,P77713,X
yagI,b0272,P77300,X
yagJ,b0276,P77169,X
yagK,b0277,P77657,X
yagL,b0278,P77607,X
yagM,b0279,P71296,X
yagN,b0280,P71297,X
yagP,b0282,P75684,X
yagU,b0287,P0AAA1,A'
yahB,b0316,P77700,X
yahC,b0317,P77219,X
yahD,b0318,P77736,X
yahE,b0319,P77297,X
yahF,b0320,P77187,X
yahG,b0321,P77221,X
yahH,b0322,Q2EEQ3,X
yahI,b0323,P77624,X
yahJ,b0324,P77554,S
yahK,b0325,P75691,S
yahL,b0326,P77393,X
yahM,b0327,P75692,X
yahN,b0328,P75693,X
yahO,b0329,P75694,S
yaiA,b0389,P0AAN5,S'
yaiE,b0391,P0C037,S
yaiF,b0362,,X
yaiI,b0387,P0A8D3,R
yaiL,b0354,P51024,R
yaiO,b0358,Q47534,X
yaiP,b0363,Q47536,X
yaiS,b0364,P71311,X
yaiT,b0371,P77199,X
yaiU,b0374,,X
yaiV,b0375,P0AAP5,X
yaiW,b0378,P77562,S
yaiX,b0359,P75697,X
yaiY,b0379,P0AAP7,X
yaiZ,b0380,P0AAQ0,X
yajC,b0407,P0ADZ7,C
yajD,b0410,P0AAQ2,X
yajG,b0434,P0ADA5,C'
yajI,b0412,P46122,X
yajL,b0424,Q46948,S'
yajO,b0419,P77735,S
yajQ,b0426,P0A8E7,A'
yajR,b0427,P77726,X
ybaA,b0456,P0AAQ6,X
ybaB,b0471,P0A8B5,R
ybaE,b0445,P46890,X
ybaK,b0481,P0AAR3,S'
ybaL,b0478,P39830,C'
ybaM,b0466,P45807,X
ybaN,b0468,P0AAR5,X
ybaO,b0447,P0ACJ5,X
ybaP,b0482,P77301,X
ybaQ,b0483,P0A9T6,U
ybaS,b0485,P77454,X
ybaT,b0486,P77400,X
ybaV,b0442,P0AAR8,X
ybaY,b0453,P77717,S
ybbA,b0495,P0A9T8,S
ybbB,b0503,P33667,X
ybbC,b0498,P33668,X
ybbD,b0500,P33669,X
ybbJ,b0488,P0AAS3,X
ybbN,b0492,P77395,A
ybbO,b0493,P0AFP4,S'
ybbP,b0496,P77504,X
ybbW,b0511,P75712,X
ybbY,b0513,P77328,X
ybcC,b0539,P75717,X
ybcD,b4508,P77528,X
ybcF,b0521,P37306,X
ybcH,b0567,P37325,X
ybcI,b0527,P45570,X
ybcJ,b0528,P0AAS7,R
ybcK,b0544,P77698,X
ybcL,b0545,P77368,X
ybcM,b0546,P77634,X
ybcN,b0547,Q47269,X
ybcO,b0549,P68661,X
ybcQ,b0551,Q47274,X
ybcV,b0558,P77598,X
ybcW,b0559,P64435,X
ybcY,b0562,P77460,X
ybdD,b4512,P0AAS9,X
ybdF,b0579,P0AAT2,X
ybdG,b0577,P0AAT4,R
ybdH,b0599,P45579,C'
ybdJ,b0580,P77506,X
ybdK,b0581,P77213,X
ybdL,b0600,P77806,S'
ybdM,b0601,P77174,X
ybdN,b0602,P77216,X
ybdO,b0603,P77746,X
ybdR,b0608,P77316,X
ybdZ,b4511,P18393,X
ybeD,b0631,P0A8J4,S'
ybeF,b0629,P30979,X
ybeL,b0643,P0AAT9,S
ybeM_1,b0625,P39874,X
ybeM_2,b0626,,X
ybeQ,b0644,P77234,X
ybeR,b0645,P77627,X
ybeT,b0647,P77296,X
ybeU,b0648,P77427,X
ybeX,b0658,P0AE78,R
ybeY,b0659,P0A898,A'
ybeZ,b0660,P0A9K3,A'
ybfA,b0699,P0AAU2,X
ybfB,b0702,P0AAU5,X
ybfC,b0704,P28915,X
ybfD,b0706,P28916,X
ybfE,b0685,P0AAU7,R
ybfF,b0686,P75736,S
ybfG,b0690,P37003,X
ybfH,b0691,,X
ybfK,b4590,P46121,X
ybfL,b0705,P75741,X
ybfN,b0682,P75734,X
ybfO,b0703,P77779,X
ybfP,b0689,P75737,X
ybfQ,b4514,Q2EEQ8,X
ybgA,b0707,P24252,X
ybgC,b0736,P0A8Z3,X
ybgD,b0719,P37909,X
ybgE,b0735,P0AAV0,X
ybgI,b0710,P0AFP6,S'
ybgJ,b0711,P0AAV4,X
ybgK,b0712,P75745,S
ybgL,b0713,P75746,S
ybgO,b0716,P75748,X
ybgP,b0717,P75749,X
ybgQ,b0718,P75750,X
ybgS,b0753,P0AAV6,X
ybhA,b0766,P21829,U
ybhB,b0773,P12994,S
ybhC,b0772,P46130,R
ybhD,b0768,P52696,X
ybhF,b0794,P0A9U1,A
ybhG,b0795,P75777,S
ybhH,b0769,P0AAV8,X
ybhI,b0770,P75763,X
ybhJ,b0771,P75764,X
ybhK,b0780,P75767,S
ybhL,b0786,P0AAC4,A
ybhM,b0787,P75769,X
ybhN,b0788,P75770,X
ybhP,b0790,P0AAW1,X
ybhQ,b0791,P0AAW5,X
ybhR,b0792,P0AFP9,X
ybhS,b0793,P0AFQ2,X
ybiA,b0798,P30176,X
ybiB,b0800,P30177,S
ybiC,b0801,P30178,S
ybiH,b0796,P0ACU0,S'
ybiI,b0803,P41039,X
ybiJ,b0802,P0AAX3,A
ybiO,b0808,P75783,X
ybiR,b0818,P75788,X
ybiT,b0820,P0A9U3,R
ybiU,b0821,P75791,A
ybiV,b0822,P75792,A
ybiW,b0823,P75793,X
ybiX,b0804,P75779,X
ybiY,b0824,P75794,X
ybjC,b0850,P46119,X
ybjD,b0876,P75828,X
ybjG,b0841,P75806,X
ybjH,b0843,P0AAY4,X
ybjI,b0844,P75809,A
ybjJ,b0845,P75810,X
ybjL,b0847,P60869,X
ybjM,b0848,P64439,X
ybjN,b0853,P0AAY6,R
ybjO,b0858,P0AAZ0,X
ybjP,b0865,P75818,S
ybjQ,b0866,P0A8C1,C'
ybjS,b0868,P75821,C'
ybjT,b0869,P75822,X
ybjX,b0877,P75829,R
ycaC,b0897,P21367,X
ycaD,b0898,P21503,X
ycaI,b0913,P37443,X
ycaK,b0901,P43340,S'
ycaL,b0909,P43674,X
ycaM,b0899,P75835,X
ycaN,b0900,P75836,X
ycaO,b0905,P75838,R
ycaP,b0906,P75839,X
ycaQ,b0916,P75843,X
ycaR,b0917,P0AAZ7,R
ycbF,b0944,P40876,X
ycbJ,b0919,P0AB03,X
ycbK,b0926,P0AB06,X
ycbU,b0942,P75859,X
ycbV,b0943,P75860,X
ycbX,b0947,P75863,S'
ycbZ,b0955,P75867,U
yccA,b0970,P0AAC6,X
yccE,b1001,P36661,X
yccF,b0961,P0AB12,A'
yccJ,b1003,P0AB14,X
yccM,b0992,P52636,X
yccS,b0960,P75870,X
yccT,b0964,P0A8X4,X
yccU,b0965,P75874,S
yccX,b0968,P0AB65,X
ycdU,b1029,P75910,X
ycdX,b1034,P75914,S'
ycdY,b1035,P75915,A'
ycdZ,b1036,P75916,X
yceA,b1055,P24188,R
yceB,b1063,P0AB26,S'
yceD,b1088,P0AB28,R
yceF,b1087,P0A729,S'
yceH,b1067,P29217,S'
yceI,b1056,P0A8X2,A
yceJ,b1057,P75925,X
yceK,b1050,P0AB31,X
yceM,b1068,P75931,S'
yceO,b1058,P64442,X
yceQ,b1085,P62066,X
ycfH,b1100,P0AFQ7,A'
ycfJ,b1110,P0AB35,X
ycfK,b1154,P45581,X
ycfL,b1104,P75946,X
ycfP,b1108,P0A8E1,S'
ycfT,b1115,P75955,X
ycfZ,b1121,P75961,X
ycgB,b1188,P29013,X
ycgH_1,b1169,,X
ycgH_2,b1170,,X
ycgI,b1173,P76000,X
ycgJ,b1177,P76001,X
ycgL,b1179,P0AB43,A'
ycgM,b1180,P76004,S
ycgN,b1181,P0A8L5,X
ycgR,b1194,P76010,C
ycgV,b1202,P76017,X
ycgX,b1161,P75988,X
ycgY,b1196,P76012,X
ycgZ,b1164,P75991,X
ychA,b1214,P0AGM5,X
ychE,b1242,P25743,X
ychE_1,b3217,,X
ychF,b1203,P0ABU2,U
ychG_1,b1240,P30192,X
ychG_2,b1239,,X
ychH,b1205,P0AB49,X
ychJ,b1233,P37052,X
ychN,b1219,P0AB52,S
ychO,b1220,P39165,X
ychQ,b1213,Q46755,X
ychS,b1228,P76023,X
yciA,b1253,P0A8Z0,R
yciB,b1254,P0A710,X
yciC,b1255,P21365,A'
yciE,b1257,P21363,X
yciF,b1258,P21362,X
yciG,b1259,P21361,X
yciH,b1282,P08245,R
yciI,b1251,P0AB55,S
yciK,b1271,P31808,S'
yciN,b1273,P0AB61,S'
yciO,b1267,P0AFR4,S'
yciQ,b1268,P45848,X
yciT,b1284,P76034,C'
yciU,b1248,P0A8L7,X
yciV,b1266,P77766,X
yciW,b1287,P76035,U
yciX,b4523,P58094,X
yciY,b4595,A5A613,X
yciZ,b4596,A5A614,S'
ycjD,b1289,P45736,X
ycjF,b1322,P0A8R7,S
ycjG,b1325,P51981,S
ycjM,b1309,P76041,X
ycjN,b1310,P76042,X
ycjO,b1311,P0AFR7,X
ycjP,b1312,P77716,X
ycjQ,b1313,P76043,X
ycjR,b1314,P76044,X
ycjS,b1315,P77503,X
ycjT,b1316,P77154,X
ycjU,b1317,P77366,X
ycjV,b1318,P77481,X
ycjW,b1320,P77615,C'
ycjX,b1321,P76046,S'
ycjY,b1327,P76049,X
ydaC,b1347,P33230,X
ydaE,b4526,P38394,X
ydaF,b4527,P0ACW0,X
ydaG,b1355,P76061,X
ydaN,b1342,P64423,X
ydaS,b1357,P76063,X
ydaT,b1358,P76064,X
ydaU,b1359,P76065,X
ydaV,b1360,P77546,X
ydaW,b1361,P76066,X
ydaY,b1366,P76069,X
ydbA_1,b1401,P33666,X
ydbA_2,b1405,,X
ydbC,b1406,P25906,S
ydbD,b1407,P25907,X
ydbH,b1381,P52645,X
ydbJ,b4529,P0ACW2,X
ydbK,b1378,P52647,S
ydbL,b1383,P76076,X
ydcA,b1419,P0ACW4,X
ydcC,b1460,P28917,X
ydcD,b1457,P31991,X
ydcF,b1414,P34209,S
ydcH,b1426,P0ACW6,X
ydcI,b1422,P77171,C
ydcJ,b1423,P76097,X
ydcK,b1428,P76100,X
ydcL,b1431,P64451,S
ydcM,b1432,P76102,X
ydcO,b1433,P76103,X
ydcP,b1435,P76104,X
ydcR,b1439,P77730,X
ydcS,b1440,P76108,X
ydcT,b1441,P77795,X
ydcU,b1442,P77156,X
ydcV,b1443,P0AFR9,X
ydcY,b1446,P64455,S'
ydcZ,b1447,P76111,X
yddA,b1496,P31826,X
yddB,b1495,P31827,C
yddE,b1464,P37757,X
yddG,b1473,P46136,X
yddH,b1462,P76121,X
yddJ,b1470,P76122,X
yddK,b1471,P76123,X
yddL,b1472,P77519,X
yddM,b1477,P67699,X
yddW,b1491,P64426,X
ydeA,b1528,P31122,X
ydeE,b1534,P31126,X
ydeI,b1536,P31130,X
ydeJ,b1537,P31131,X
ydeK,b1510,P32051,X
ydeM,b1497,P76134,X
ydeN,b1498,P77318,S
ydeO,b1499,P76135,X
ydeP,b1501,P77561,X
ydeQ,b1502,P77588,X
ydeR,b1503,P77294,X
ydeS,b1504,P77789,X
ydeT,b1505,P76137,X
ydeU,b1509,P77286,X
ydfA,b1571,P0ACW8,X
ydfB,b1572,P29009,X
ydfC,b1573,P21418,X
ydfD,b1576,P29010,X
ydfE,b1577,Q47138,X
ydfG,b1539,P39831,S'
ydfH,b1540,P0ACM2,A'
ydfI,b1542,P77260,X
ydfJ,b1543,P77228,X
ydfK,b1544,P76154,X
ydfN,b1547,P77515,X
ydfO,b1549,P76156,X
ydfP,b1553,P76158,X
ydfR,b1555,P76160,X
ydfT,b1559,P76161,X
ydfU,b1560,P76162,X
ydfV,b1565,P76163,X
ydfW,b1567,P76164,X
ydfX,b1568,P76165,X
ydfZ,b1541,P64463,S
ydgA,b1614,P77804,S'
ydgC,b1607,P0ACX0,X
ydgD,b1598,P76176,X
ydgH,b1604,P76177,S
ydgI,b1605,P0AAE5,X
ydgJ,b1624,P77376,X
ydgK,b1626,P76180,X
ydgU,b4601,A5A617,X
ydhB,b1659,P0ACR2,X
ydhC,b1660,P37597,X
ydhF,b1647,P76187,S
ydhI,b1643,P64471,X
ydhJ,b1644,P76185,X
ydhK,b1645,P76186,X
ydhL,b1648,P64474,X
ydhP,b1657,P77389,X
ydhQ,b1664,P77552,A
ydhR,b1667,P0ACX3,S'
ydhS,b1668,P77148,X
ydhT,b1669,P77147,X
ydhU,b1670,P77409,X
ydhV,b1673,P76192,X
ydhW,b1672,P77564,X
ydhX,b1671,P77375,X
ydhY,b1674,P0AAL6,X
ydhZ,b1675,P0ACX5,R
ydiB,b1692,P0A6D5,X
ydiE,b1705,P0ACX9,X
ydiF,b1694,P37766,X
ydiH,b1685,P64476,X
ydiJ,b1687,P77748,R
ydiK,b1688,P0AFS7,X
ydiL,b1689,P76196,X
ydiM,b1690,P76197,X
ydiN,b1691,P76198,X
ydiO,b1695,P0A9U8,X
ydiP,b1696,P77402,X
ydiQ,b1697,P76201,X
ydiR,b1698,P77378,X
ydiS,b1699,P77337,X
ydiT,b1700,P77714,X
ydiU,b1706,P77649,S'
ydiV,b1707,P76204,X
ydiY,b1722,P76206,X
ydiZ,b1724,P64479,X
ydjA,b1765,P0ACY1,S'
ydjE,b1769,P38055,X
ydjF,b1770,P77721,X
ydjG,b1771,P77256,X
ydjH,b1772,P77493,X
ydjI,b1773,P77704,X
ydjJ,b1774,P77280,X
ydjK,b1775,P76230,X
ydjL,b1776,P77539,X
ydjM,b1728,P64481,X
ydjO,b1730,P76210,X
ydjX,b1750,P76219,X
ydjY,b1751,P76220,X
ydjZ,b1752,P76221,X
yeaC,b1777,P76231,X
yeaD,b1780,P39173,A
yeaE,b1781,P76234,X
yeaG,b1783,P0ACY3,S
yeaH,b1784,P76235,X
yeaK,b1787,P64483,S'
yeaL,b1789,P0ACY6,X
yeaO,b1792,P76243,S'
yeaQ,b1795,P64485,X
yeaR,b1797,P64488,X
yeaV,b1801,P0ABD1,X
yeaW,b1802,P0ABR7,X
yeaX,b1803,P76254,X
yeaY,b1806,P0AA91,S'
yebB,b1862,P24238,X
yebC,b1864,P0A8A0,R
yebE,b1846,P33218,S'
yebF,b1847,P33219,S
yebG,b1848,P0ACY9,U
yebK,b1853,P46118,C
yebO,b1825,P64499,R
yebQ,b1828,P76269,X
yebS,b1833,P0AD03,X
yebT,b1834,P76272,A'
yebV,b1836,P64503,X
yebW,b1837,P76275,X
yebY,b1839,P64506,R
yebZ,b1840,P76278,X
yecA,b1908,P0AD05,S'
yecD,b1867,P0ADI7,S'
yecE,b1868,P37348,X
yecF,b1915,P0AD07,X
yecH,b1906,P46887,X
yecJ,b4537,P0AD10,R
yecM,b1875,P52007,A'
yecN,b1869,P64515,X
yecR,b1904,P76308,X
yecT,b1877,P76296,X
yedA,b1959,P0AA70,X
yedD,b1928,P31063,S'
yedE,b1929,P31064,C'
yedF,b1930,P0AA31,C'
yedI,b1958,P46125,X
yedJ,b1962,P46144,X
yedK,b1931,P76318,X
yedL,b1932,P76319,X
yedM,b1935,P76321,X
yedN_1,b1934,,X
yedN_2,b1933,,X
yedP,b1955,P76329,X
yedR,b1963,P76334,X
yedS_1,b1964,P76335,S'
yedS_2,b1965,,X
yedS_3,b1966,,X
yedV,b1968,P76339,X
yedW,b1969,P76340,X
yedX,b1970,P76341,X
yeeA,b2008,P33011,X
yeeD,b2012,P33014,X
yeeE,b2013,P33015,X
yeeJ,b1978,P76347,X
yeeL_1,b1980,P76349,X
yeeL_2,b1979,,X
yeeN,b1983,P0A8A2,U
yeeO,b1985,P76352,X
yeeP,b1999,P76359,X
yeeR,b2001,P76361,X
yeeS,b2002,P76362,X
yeeT,b2003,P64521,X
yeeW,b2006,P64526,X
yeeX,b2007,P0A8M6,A
yeeY,b2015,P76369,X
yeeZ,b2016,P0AD12,S'
yefM,b2017,P69346,S'
yegD,b2069,P36928,R
yegH,b2063,P76389,A
yegI,b2070,P76393,X
yegJ,b2071,P76394,X
yegK,b2072,P76395,X
yegL,b2073,P76396,X
yegP,b2080,P76402,X
yegQ,b2081,P76403,R
yegR,b2085,P76406,X
yegS,b2086,P76407,X
yegT,b2098,P76417,X
yegU,b2099,P76418,X
yegV,b2100,P76419,X
yegW,b2101,P0ACM5,X
yegX,b2102,P76421,X
yegZ,b2083,,X
yehA,b2108,P33340,X
yehB,b2109,P33341,X
yehC,b2110,P33342,X
yehD,b2111,P33343,X
yehE,b2112,P33344,X
yehI,b2118,P33346,X
yehK,b4541,P33347,X
yehL,b2119,P33348,X
yehM,b2120,P33349,X
yehP,b2121,P33352,X
yehQ,b2122,P33353,X
yehR,b2123,P33354,X
yehS,b2124,P33355,X
yehT,b2125,P0AFT5,X
yehU,b2126,P0AD14,X
yehW,b2128,P33359,X
yehX,b2129,P33360,X
yehY,b2130,P33361,X
yeiB,b2152,P25747,X
yeiE,b2157,P0ACR4,S'
yeiG,b2154,P33018,S
yeiH,b2158,P62723,X
yeiI,b2160,P33020,X
yeiL,b2163,P0A9E9,X
yeiP,b2171,P0A6N8,R
yeiQ,b2172,P33029,X
yeiR,b2173,P33030,A'
yeiS,b2145,P64536,X
yeiW,b4502,P0AFT8,X
yejA,b2177,P33913,X
yejB,b2178,P0AFU0,X
yejE,b2179,P33915,X
yejF,b2180,P33916,S
yejG,b2181,P0AD21,X
yejK,b2186,P33920,R
yejL,b2187,P0AD24,A'
yejM,b2188,P0AD27,S'
yejO,b2190,P33924,X
yfaA,b2230,P17994,X
yfaD,b2244,P37014,X
yfaE,b2236,P0ABW3,X
yfaH,b2238,P45505,X
yfaL,b2233,P45508,X
yfaP,b2225,P76462,X
yfaQ,b2226,P76463,X
yfaS_1,b2228,,X
yfaS_2,b2227,,X
yfaT,b2229,P76466,X
yfaU,b2245,P76469,X
yfaV,b2246,P76470,X
yfaW,b2247,P77215,X
yfaX,b2248,P77732,X
yfaY,b2249,P77808,S'
yfaZ,b2250,P76471,X
yfbK,b2270,P76481,X
yfbL,b2271,P76482,X
yfbM,b2272,P76483,X
yfbN,b2273,P76484,X
yfbO,b2274,P76485,X
yfbP,b2275,P76486,X
yfbR,b2291,P76491,X
yfbS,b2292,P0AFU2,X
yfbT,b2293,P77625,S
yfbU,b2294,P0A8W8,S
yfbV,b2295,P0A8D9,X
yfcA,b2327,P0AD30,X
yfcC,b2298,P39263,X
yfcD,b2299,P65556,C
yfcE,b2300,P67095,S'
yfcF,b2301,P77544,S
yfcG,b2302,P77526,X
yfcH,b2304,P77775,S'
yfcI,b2305,P77768,X
yfcJ,b2322,P77549,X
yfcL,b2325,P64540,R
yfcO,b2332,P76498,X
yfcP,b2333,P76499,X
yfcQ,b2334,P76500,X
yfcR,b2335,P76501,X
yfcS,b2336,P77599,X
yfcT,b2337,,X
yfcU,b2338,P77196,X
yfcV,b2339,P77288,X
yfcZ,b2343,P0AD33,C
yfdC,b2347,P37327,X
yfdE,b2371,P76518,X
yfdF,b2345,P76505,X
yfdG,b2350,P77682,X
yfdH,b2351,P77293,U
yfdI,b2352,P76507,U
yfdK,b2354,P77656,X
yfdL,b2355,P76508,X
yfdM,b2356,P76509,X
yfdN,b2357,P76510,X
yfdO,b2358,P0AD35,X
yfdP,b2359,P76512,X
yfdQ,b2360,P76513,X
yfdR,b2361,P76514,X
yfdS,b2362,P76515,X
yfdT,b2363,P76516,X
yfdV,b2372,P0AA49,X
yfdX,b2375,P76520,X
yfdY,b2377,P76521,X
yfeC,b2398,P0AD37,X
yfeD,b2399,P27238,X
yfeH,b2410,P39836,X
yfeK,b2419,Q47702,X
yfeN,b2408,P45564,X
yfeO,b2389,P67729,X
yfeR,b2409,P0ACR7,X
yfeS,b2420,P78271,X
yfeW,b2430,P77619,X
yfeX,b2431,P76536,S
yfeY,b2432,P76537,S'
yfeZ,b2433,P76538,X
yffB,b2471,P24178,A'
yffL,b2443,P76543,X
yffM,b2444,P76544,X
yffN,b2445,P76545,X
yffO,b2446,P76546,X
yffP,b2447,P76547,X
yffQ,b2448,P76548,X
yffR,b2449,P76549,X
yffS,b2450,P76550,S'
yfgD,b2495,P76569,S
yfgG,b2504,P64545,X
yfgH,b2505,P65290,X
yfgI,b2506,P76573,X
yfgJ,b2510,P76575,X
yfgM,b2513,P76576,C
yfgO,b2493,P0AFI9,X
yfhG,b2555,P0AD44,X
yfhH,b2561,P37767,X
yfhL,b2562,P52102,X
yfhM,b2520,P76578,S'
yfhR,b2534,P77538,X
yfiB,b2605,P07021,X
yfiC,b2575,P31825,X
yfiE,b2577,P33634,X
yfiF,b2581,P0AGJ5,A'
yfiH,b2593,P33644,S'
yfiL,b2602,P11289,X
yfiM,b2586,P46126,X
yfiP,b2583,Q47319,X
yfiR,b2603,P64548,X
yfjD,b4461,P37908,A'
yfjH,b2623,P52123,X
yfjI,b2625,P52124,X
yfjJ,b2626,P52125,X
yfjM,b2629,P52128,X
yfjP,b2632,P52131,X
yfjQ,b2633,P52132,X
yfjR,b2634,P52133,X
yfjS,b2636,O52982,X
yfjT,b2637,P52135,X
yfjU,b2638,P0CF86,X
yfjW,b2642,P52138,X
yfjX,b2643,P52139,X
yfjY,b2644,P52140,X
yfjZ,b2645,P52141,X
ygaC,b2671,P0AD53,X
ygaH,b2683,P43667,X
