gene_name,b_number,protein_id,sector
flk,b2321,P15286,A'
flu,b2000,P39180,S
flxA,b1566,P77609,X
fmt,b3288,P23882,R
fnr,b1334,P0A9E5,R
focA,b0904,P0AC23,X
focB,b2492,P77733,X
folA,b0048,P0ABQ4,C'
folB,b3058,P0AC16,A'
folC,b2315,P08192,A
folD,b0529,P24186,U
folE,b2153,P0A6T5,U
folK,b0142,P26281,C'
folM,b1606,P0AFS3,S
folP,b3177,P0AC13,U
folX,b2303,P0AC19,A'
fpr,b3924,P28861,S
frc,b2374,P69902,X
frdA,b4154,P00363,S'
frdB,b4153,P0AC47,S
frdC,b4152,P0A8Q0,X
frdD,b4151,P0A8Q3,X
fre,b3844,P0AEN1,S
frlA,b3370,P45539,X
frlB,b3371,P0AC00,X
frlC,b4474,P45541,X
frlD,b3374,P45543,X
frlR,b3375,P45544,C'
frmA,b0356,P25437,R
frmB,b0355,P51025,U
frmR,b0357,P0AAP3,C'
frr,b0172,P0A805,R
frsA,b0239,P04335,S'
fruA,b2167,P20966,S'
fruB,b2169,P69811,S'
fruK,b2168,P0AEW9,S'
frvA,b3900,P32155,X
frvB,b3899,P32154,X
frvR,b3897,P32152,X
frvX,b3898,P32153,X
frwB,b3950,P69816,X
frwC,b3949,P32672,X
frwD,b3953,P32676,X
fryA,b2383,P77439,X
fryB,b2387,P69808,X
fryC,b2386,P77579,X
fsaA,b0825,P78055,X
fsaB,b3946,P32669,X
fsr,b0479,P52067,X
ftnA,b1905,P0A998,R
ftnB,b1902,P0A9A2,S'
